factor_id,layer,second_level,factor_name,event_or_factor,impact_path,affected_entities,direction_rule,time_horizon,data_sources,data_availability,proxy_variables,lag_days,confidence_default,backtestable,compliance_flag,trade_usage,ai_role,quantifiability,backtest_value,notes,source_file,source_section,taxonomy_version
company_events_factor_aa,经营与公司事件层,收入与订单,主营收入增长,event,收入上升 → 利润预期改善,所有公司,see impact_path,,巨潮公告、年报、招投标、海关,A,,,,true,public_data,factor_signal,低,高,高,要区分周期性增长和一次性增长,股价影响因素全景表v2.0.md,1.1,v2.0
company_events_factor_ab,经营与公司事件层,收入与订单,主营收入下降,event,收入下降 → 盈利预期下降,所有公司,see impact_path,,巨潮公告、年报、招投标、海关,A,,,,true,public_data,factor_signal,低,高,高,可能已经被股价提前反映,股价影响因素全景表v2.0.md,1.2,v2.0
company_events_factor_ac,经营与公司事件层,收入与订单,新增重大合同,event,未来收入确定性增强,工程、设备、军工、软件,see impact_path,,巨潮公告、年报、招投标、海关,A/C,,,,partial,public_data,factor_signal,高,中,中,合同金额不等于利润金额,股价影响因素全景表v2.0.md,1.3,v2.0
company_events_factor_ad,经营与公司事件层,收入与订单,订单取消或延迟,event,未来收入和产能利用率下降,制造、工程、出口链,see impact_path,,巨潮公告、年报、招投标、海关,C/D,,,,partial,public_data,factor_signal,高,低,中,直接订单数据常拿不到,股价影响因素全景表v2.0.md,1.4,v2.0
company_events_factor_ae,经营与公司事件层,客户结构,大客户依赖度上升,event,单一客户风险增加,电子、代工、设备、军工,see impact_path,,,A/B,,,,partial,public_data,factor_signal,中,中,中,需要年报客户集中度,股价影响因素全景表v2.0.md,1.5,v2.0
company_events_factor_af,经营与公司事件层,客户结构,大客户流失,event,收入下降、议价能力下降,供应链公司,see impact_path,,,D,,,,partial,unknown,factor_signal,高,低,中,只能用公告、财报、新闻代理,股价影响因素全景表v2.0.md,1.6,v2.0
company_events_factor_ag,经营与公司事件层,成本与原料,原材料成本上升,event,成本上升 → 毛利率下降,制造、钢铁、化工、食品,see impact_path,,期货交易所、统计局价格、发改委、海关,A/B,,,,true,public_data,factor_signal,低,高,高,是否能向下游转嫁是关键,股价影响因素全景表v2.0.md,1.7,v2.0
company_events_factor_ah,经营与公司事件层,成本与原料,能源成本上升,event,电价、煤价、油价上升 → 成本压力,高耗能企业、运输企业,see impact_path,,期货交易所、统计局价格、发改委、海关,A/B,,,,true,public_data,factor_signal,低,高,高,高耗能行业更敏感,股价影响因素全景表v2.0.md,1.8,v2.0
company_events_factor_ai,经营与公司事件层,成本与原料,人工成本上升,event,费用率上升 → 净利率下降,服务、制造、消费,see impact_path,,期货交易所、统计局价格、发改委、海关,B/D,,,,partial,public_data,factor_signal,中,中,中,可用员工数量和薪酬代理,股价影响因素全景表v2.0.md,1.9,v2.0
company_events_factor_aj,经营与公司事件层,毛利与产品结构,毛利率上升,event,定价能力增强或成本下降,所有公司,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,要拆分产品结构和成本周期,股价影响因素全景表v2.0.md,1.10,v2.0
